price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,airport
24,0.00632,32.31,0.538,6.575,65.2,4.35,3.81,4.18,4.01,1
21.6,0.02731,37.07,0.469,6.421,78.9,4.99,4.7,5.12,5.06,0
34.7,0.02729,37.07,0.469,7.185,61.1,5.03,4.86,5.01,4.97,0
33.4,0.03237,32.18,0.458,6.998,45.8,6.21,5.93,6.16,5.96,1
36.2,0.06905,32.18,0.458,7.147,54.2,6.16,5.86,6.37,5.86,0
28.7,0.02985,32.18,0.458,6.43,58.7,6.22,5.8,6.23,5.99,1
22.9,0.08829,37.87,0.524,6.012,66.6,5.87,5.47,5.7,5.2,1
22.1,0.14455,37.87,0.524,6.172,96.1,6.04,5.85,6.25,5.66,0
16.5,0.21124,37.87,0.524,5.631,100,6.18,5.85,6.3,6,1
18.9,0.17004,37.87,0.524,6.004,85.9,6.67,6.55,6.85,6.29,1
15,0.22489,37.87,0.524,6.377,94.3,6.65,6.31,6.55,5.88,0
18.9,0.11747,37.87,0.524,6.009,82.9,6.27,5.93,6.51,6.19,0
21.7,0.09378,37.87,0.524,5.889,39,5.76,5.14,5.58,5.33,1
20.4,0.62976,38.14,0.538,5.949,61.8,4.72,4.59,4.93,4.59,1
18.2,0.63796,38.14,0.538,6.096,84.5,4.6,4.2,4.48,4.58,0
19.9,0.62739,38.14,0.538,5.834,56.5,4.6,4.35,4.72,4.32,1
23.1,1.05393,38.14,0.538,5.935,29.3,4.66,4.39,4.52,4.43,0
17.5,0.7842,38.14,0.538,5.99,81.7,4.56,4.15,4.36,3.97,0
20.2,0.80271,38.14,0.538,5.456,36.6,3.8,3.52,3.86,4,1
18.2,0.7258,38.14,0.538,5.727,69.5,3.98,3.65,4,3.57,0
13.6,1.25179,38.14,0.538,5.57,98.1,3.93,3.59,4.09,3.58,1
19.6,0.85204,38.14,0.538,5.965,89.2,4.11,3.72,4.34,3.88,1
15.2,1.23247,38.14,0.538,6.142,91.7,4.18,3.98,4.31,3.45,1
14.5,0.98843,38.14,0.538,5.813,100,4.35,3.98,4.13,3.92,1
15.6,0.75026,38.14,0.538,5.924,94.1,4.69,4.07,4.72,4.12,1
13.9,0.84054,38.14,0.538,5.599,85.7,4.69,4.33,4.72,4.08,1
16.6,0.67191,38.14,0.538,5.813,90.3,4.94,4.59,4.71,4.49,0
14.8,0.95577,38.14,0.538,6.047,88.8,4.5,4.4,4.6,4.31,1
18.4,0.77299,38.14,0.538,6.495,94.4,4.57,4.35,4.69,4.21,1
21,1.00245,38.14,0.538,6.674,87.3,4.53,3.94,4.36,4.13,0
12.7,1.13081,38.14,0.538,5.713,94.1,4.52,4.18,4.37,3.86,0
14.5,1.35472,38.14,0.538,6.072,100,4.39,4.06,4.48,3.77,1
13.2,1.38799,38.14,0.538,5.95,82,4.01,3.86,4.31,3.79,0
13.1,1.15172,38.14,0.538,5.701,95,3.8,3.67,3.96,3.72,1
13.5,1.61282,38.14,0.538,6.096,96.9,4.07,3.66,3.87,3.44,1
18.9,0.06417,35.96,0.499,5.933,68.2,3.69,3.27,3.54,2.94,1
20,0.09744,35.96,0.499,5.841,61.4,3.39,3.28,3.62,3.22,0
21,0.08014,35.96,0.499,5.85,41.5,3.98,3.75,4.12,3.89,1
24.2,0.17505,35.96,0.499,5.966,30.2,4.15,3.66,4.04,3.54,1
30.8,0.02763,32.95,0.428,6.595,21.8,5.65,5.35,5.55,5.05,1
34.9,0.03359,32.95,0.428,7.024,15.8,5.63,5.31,5.53,5.14,1
26.6,0.12744,36.91,0.448,6.77,2.9,5.77,5.72,6,5.4,0
25.3,0.1415,36.91,0.448,6.169,6.6,5.93,5.46,5.88,5.62,0
24.7,0.15936,36.91,0.448,6.211,6.5,6.04,5.66,5.84,5.34,1
21.2,0.12269,36.91,0.448,6.069,40,5.81,5.51,5.9,5.67,0
19.3,0.17142,36.91,0.448,5.682,33.8,5.23,4.95,5.21,5.02,0
20,0.18836,36.91,0.448,5.786,33.3,5.25,5,5.4,4.75,1
16.6,0.22927,36.91,0.448,6.03,85.5,5.83,5.64,5.75,5.54,1
14.4,0.25387,36.91,0.448,5.399,95.3,5.98,5.68,5.96,5.86,0
19.4,0.21977,36.91,0.448,5.602,62,6.11,5.9,6.3,6.04,0
19.7,0.08873,35.64,0.439,5.963,45.7,7.08,6.55,7,6.63,1
20.5,0.04337,35.64,0.439,6.115,63,7.04,6.74,7.08,6.41,1
25,0.0536,35.64,0.439,6.511,21.1,7.02,6.76,7.12,6.37,0
23.4,0.04981,35.64,0.439,5.998,21.4,6.89,6.52,6.87,6.98,0
18.9,0.0136,34,0.41,5.888,47.6,7.4,7.27,7.6,7,1
35.4,0.01311,31.22,0.403,7.249,21.9,8.9,8.41,8.79,8.69,1
24.7,0.02055,30.74,0.41,6.383,35.7,9.32,8.93,9.43,9.07,1
31.6,0.01432,31.32,0.411,6.816,40.5,8.63,8.28,8.37,8.02,1
23.3,0.15445,35.13,0.453,6.145,29.2,7.98,7.77,8.07,7.44,0
19.6,0.10328,35.13,0.453,5.927,47.2,7.26,6.68,7.1,6.68,1
18.7,0.14932,35.13,0.453,5.741,66.2,7.33,7.16,7.53,6.88,0
16,0.17171,35.13,0.453,5.966,93.4,6.84,6.67,7.08,6.69,0
22.2,0.11027,35.13,0.453,6.456,67.8,7.55,7.08,7.43,6.84,1
25,0.1265,35.13,0.453,6.762,43.4,8.23,7.69,8.1,7.91,1
33,0.01951,31.38,0.4161,7.104,59.5,9.44,9.09,9.37,8.99,1
23.5,0.03584,33.37,0.398,6.29,17.8,6.62,6.43,6.85,6.55,0
19.4,0.04379,33.37,0.398,5.787,31.1,6.7,6.44,6.84,6.46,0
22,0.05789,36.07,0.409,5.878,21.4,6.64,6.4,6.52,6.43,1
17.4,0.13554,36.07,0.409,5.594,36.8,6.51,6.17,6.54,6.77,0
20.9,0.12816,36.07,0.409,5.885,33,6.55,6.39,6.6,6.46,0
24.2,0.08826,40.81,0.413,6.417,6.6,5.52,5.07,5.59,4.96,1
21.7,0.15876,40.81,0.413,5.961,17.5,5.44,5.2,5.42,5.09,0
22.8,0.09164,40.81,0.413,6.065,7.8,5.46,4.96,5.61,5.12,0
23.4,0.19539,40.81,0.413,6.245,6.2,5.36,5.23,5.5,5.06,1
24.1,0.07896,42.83,0.437,6.273,6,4.54,3.95,4.57,3.95,0
21.4,0.09512,42.83,0.437,6.286,45,4.83,4.5,4.83,3.86,0
20,0.10153,42.83,0.437,6.279,74.5,4.33,3.72,4.26,3.9,0
